iter	RMSE
0	0.2547697332
1	0.2365337307
2	0.2205195772
3	0.2051858925
4	0.1910777733
5	0.1788929607
6	0.1673903871
7	0.1570566929
8	0.1473520625
9	0.1380155447
10	0.1295278004
11	0.1218955543
12	0.1141361956
13	0.1074577163
14	0.1011224386
15	0.09565510812
16	0.09019372867
17	0.08561490767
18	0.08118943467
19	0.07733130179
20	0.07381130316
21	0.07054850663
22	0.06782471199
23	0.06493301274
24	0.06237410253
25	0.06001335819
26	0.05781594495
27	0.0560237907
28	0.05406762246
29	0.05242599266
30	0.0508650545
31	0.04931071105
32	0.04792375568
33	0.04657381925
34	0.04526143288
35	0.04398199936
36	0.04278528221
37	0.04176340009
38	0.04060678386
39	0.03963076107
40	0.0387261912
41	0.03789404005
42	0.03715686048
43	0.03638399244
44	0.03574787765
45	0.03512995748
46	0.03437678282
47	0.03382139406
48	0.03336656001
49	0.03270916
50	0.03219753012
51	0.03171853082
52	0.03123411788
53	0.03072656434
54	0.03032326549
55	0.02979376138
56	0.02940592543
57	0.02905162241
58	0.02869104383
59	0.02826969482
60	0.0278834015
61	0.02749563769
62	0.0272465459
63	0.02688781394
64	0.02661622074
65	0.02629268409
66	0.02591996696
67	0.0256671951
68	0.02546049006
69	0.0251051125
70	0.02488772817
71	0.02466510568
72	0.02440041903
73	0.02413977075
74	0.02392015956
75	0.02373582727
76	0.02337676363
77	0.0231465397
78	0.02296723132
79	0.02280889161
80	0.02264949963
81	0.02249024327
82	0.02233207184
83	0.02216861566
84	0.0218646614
85	0.02167276154
86	0.02143555611
87	0.02125704043
88	0.02098166256
89	0.02088697334
90	0.02074656482
91	0.02059535736
92	0.02040942875
93	0.02026190426
94	0.02017828666
95	0.01999350379
96	0.01986646221
97	0.01962196915
98	0.01945389344
99	0.01935503236
100	0.01912219856
101	0.01898583373
102	0.01886165042
103	0.0186760211
104	0.01854850888
105	0.018427983
106	0.01833666732
107	0.01823049792
108	0.01814264667
109	0.01804912971
110	0.01792654971
111	0.01784276813
112	0.01767133786
113	0.01756902206
114	0.01748619191
115	0.01734575831
116	0.0172073774
117	0.01709486731
118	0.01698442037
119	0.01690176757
120	0.01679520648
121	0.01664529189
122	0.01652929832
123	0.01643432163
124	0.01636807001
125	0.01622991054
126	0.01615341903
127	0.01605937699
128	0.01594703258
129	0.0158934
130	0.01583467165
131	0.01570278868
132	0.01562188094
133	0.01553053287
134	0.01546837911
135	0.01540887022
136	0.01533977206
137	0.01525095045
138	0.0151901716
139	0.01507847593
140	0.01501346024
141	0.01491461988
142	0.01482903484
143	0.01476569645
144	0.01469604651
145	0.01463171819
146	0.01458843704
147	0.01453057785
148	0.01443212677
149	0.01437451535
150	0.01426800839
151	0.01420844466
152	0.01409959098
153	0.0139962638
154	0.01392349129
155	0.01381478576
156	0.01375517941
157	0.01368754253
158	0.01365106677
159	0.01357887596
160	0.01350004791
161	0.01342416024
162	0.01336625635
163	0.0133254824
164	0.0132816503
165	0.01319573291
166	0.01311247745
167	0.01304490198
168	0.01298022761
169	0.01291176537
170	0.01284380466
171	0.01281931635
172	0.01275234099
173	0.01269689237
174	0.01265537756
175	0.01260981908
176	0.01255397555
177	0.01247198552
178	0.01242340878
179	0.01238687811
180	0.01233722487
181	0.0122662129
182	0.01221545267
183	0.01217760644
184	0.01212309065
185	0.01207013892
186	0.012027296
187	0.01194238246
188	0.01186561043
189	0.01181080565
190	0.01177889957
191	0.01173472007
192	0.01167071645
193	0.0116110354
194	0.0115690296
195	0.01150692703
196	0.01147387003
197	0.0114326338
198	0.01136919565
199	0.01131753849
200	0.01126614921
201	0.01121073245
202	0.01115726454
203	0.01111229842
204	0.01106671272
205	0.01103484593
206	0.01098998063
207	0.01094026989
208	0.01089258184
209	0.01084676394
210	0.01081714719
211	0.01076795898
212	0.01072714304
213	0.01070210466
214	0.01067849285
215	0.01063079086
216	0.01059265255
217	0.01055198298
218	0.01051450533
219	0.01047300286
220	0.01044678962
221	0.01042513564
222	0.01038439342
223	0.01034307645
224	0.01031014203
225	0.01028573397
226	0.01025189281
227	0.01021837527
228	0.01019116787
229	0.01016831577
230	0.01013889184
231	0.01007946516
232	0.01005073572
233	0.01000844647
234	0.009975422322
235	0.009950442923
236	0.009914101175
237	0.009876308734
238	0.009846723185
239	0.009822343445
240	0.009798558184
241	0.009752160569
242	0.009717307362
243	0.0096784201
244	0.009643314395
245	0.009621773618
246	0.009598716699
247	0.009562907064
248	0.009533754681
249	0.009502773701
250	0.009473758946
251	0.009455902597
252	0.009428907332
253	0.009410318166
254	0.009387299949
255	0.009361216819
256	0.009332542083
257	0.009300983761
258	0.009279015404
259	0.009225759376
260	0.009203450782
261	0.009177127983
262	0.009158883867
263	0.00911138452
264	0.009086453138
265	0.009058414369
266	0.009022125762
267	0.008989965662
268	0.00896760279
269	0.008945007144
270	0.008926330067
271	0.008896118292
272	0.008874408045
273	0.008859081256
274	0.008838080847
275	0.008814755327
276	0.008792510252
277	0.008761945829
278	0.008738065452
279	0.008717730833
280	0.00869610455
281	0.008658071937
282	0.008632104309
283	0.008612642224
284	0.008598682112
285	0.008571219452
286	0.00854094288
287	0.008517602819
288	0.008500943993
289	0.008486945052
290	0.008464300387
291	0.008447839679
292	0.008424000018
293	0.00840349766
294	0.008391661812
295	0.008378712953
296	0.008359999798
297	0.008338125419
298	0.008318749541
299	0.008299252159
300	0.008274560586
301	0.008259744355
302	0.008240059611
303	0.008209017805
304	0.008185933022
305	0.008168404231
306	0.008152795608
307	0.008140094505
308	0.008107158295
309	0.008089473898
310	0.008064159284
